sample	P057	P054	P052	P050	P049	P048	P047	P046	P044	P043	P042	P040	P039	P037	P036	P035	P034	P029	P028	P027	P022	P019	P016	P015	P014	P013	P011	P009	P007	P006	P004	P003	P002	MSM_L2_F7	MSM_L2_F6	MSM_L2_F5	MSM_L2_F4	MSM_L2_F3	MSM_L2_F2	MSM_L2_F1	MSM_L2_E9	MSM_L2_E8	MSM_L2_E7	MSM_L2_E6	MSM_L2_E5	MSM_L2_E4	MSM_L2_E3	MSM_L2_E2	MSM_L2_E1	MSM_L2_E12	MSM_L2_E11	MSM_L2_E10	MSM_L2_D9	MSM_L2_D8	MSM_L2_D7	MSM_L2_D6	MSM_L2_D5	MSM_L2_D4	MSM_L2_D3	MSM_L2_D2	MSM_L2_D1	MSM_L2_D12	MSM_L2_D11	MSM_L2_D10	MSM_L2_C9	MSM_L2_C8	MSM_L2_C7	MSM_L2_C6	MSM_L2_C2	MSM_L2_C1	MSM_L2_C12	MSM_L2_B9	MSM_L2_B8	MSM_L2_B6	MSM_L2_B5	MSM_L2_B12	MSM_L2_B11	MSM_L2_A8	MSM_L2_A5	MSM_L2_A1	MSM_L2_A12	MSM_L2_A10	MSM_L1_D8	MSM_L1_D5	MSM_L1_D4	MSM_L1_D3	MSM_L1_D1	MSM_L1_D12	MSM_L1_D10	MSM_L1_C7	MSM_L1_C6	MSM_L1_C3	MSM_L1_C2	MSM_L1_B9	MSM_L1_B8	MSM_L1_B6	MSM_L1_B5	MSM_L1_B3	MSM_L1_B2	MSM_L1_B1	MSM_L1_B11	MSM_L1_B10	MSM_L1_A9	MSM_L1_A7	MSM_L1_A6	MSM_L1_A5	MSM_L1_A12	MSM_L1_A10	KHK8	KHK59	KHK58	KHK57	KHK56	KHK55	KHK54	KHK53	KHK52	KHK51	KHK4	KHK48	KHK46	KHK44	KHK43	KHK3	KHK39	KHK37	KHK36	KHK35	KHK34	KHK33	KHK2	KHK29	KHK28	KHK25	KHK24	KHK1	KHK19	KHK16	KHK11
Clostridia_unclassified_SGB20608|t__SGB20608	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07519	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06385	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Clostridia_unclassified_SGB20792|t__SGB20792	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37921	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52423	0.0	0.0	1.04192	0.032	0.0	0.0	0.0	1.03651	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00781	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13178	0.0	0.0	0.0	0.39829	0.0	0.0	0.46683	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11341	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Clostridia_unclassified_SGB20884|t__SGB20884	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09794	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Clostridia_unclassified_SGB3983|t__SGB3983	0.0	0.0	0.0	0.0	0.0	0.08589	0.0	0.0	0.00262	0.01278	0.0	0.0	0.0	0.0	0.32775	0.0	0.01953	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07595	0.01191	0.0	0.0	0.0	0.31593	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00588	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00179	0.00773	0.0	0.0	0.0	0.0	0.0	0.0	0.08238	0.0	0.0	0.2669	0.11513	0.0	0.0	0.0	0.0	0.32219	0.0	0.0	0.18898	0.01363	0.0	0.0	0.03284	0.0	0.0	0.0	0.05563	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08896	0.0	0.13412	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00636	0.0	0.0	0.0	0.01568	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Clostridia_unclassified_SGB4121|t__SGB4121	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02579	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07891	0.0	0.0	0.0	0.0	0.04892	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02154	0.08631	0.0	0.04526	0.07169	0.05168	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06089	0.02116	0.08527	0.0	0.0	0.0	0.0	0.02003	0.0102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06866	0.10673	0.0	0.02938	0.0	0.07379	0.08254	0.0	0.0	0.01129	0.15359	0.13054	0.18842	0.05394	0.10202	0.0566	0.06941	0.46176	0.0	0.03945	0.1277	0.0	0.134	0.08024	0.07966	0.0	0.0	0.0	0.0	0.0	0.07785	0.0	0.0	0.0	0.0	0.17752	0.11229	0.0	0.0	0.0	0.0	0.0	0.0358	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02271	0.0	0.0	0.0	0.0
Clostridia_unclassified_SGB4317|t__SGB4317	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.67544	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04752	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02214	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43156	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Clostridia_unclassified_SGB4367|t__SGB4367	0.0	0.14455	0.0111	0.0	4.94187	1.38281	0.0	1.40925	3.05861	0.0	0.0	0.07938	0.73168	9.08564	0.46015	4.39844	1.4733	0.02143	0.0	0.25565	0.0	3.81081	0.0	0.0	3.81657	0.0	2.80728	9.20945	0.87916	0.0	0.35217	6.85229	1.20608	0.06675	5.04237	0.0	0.0	0.0	11.40565	2.17712	0.0	0.08313	1.08336	0.07966	0.89827	0.00689	1.55929	0.0	3.94931	0.0	0.0	0.0	0.0	2.69234	0.0	0.0	0.17821	0.07843	0.73014	0.0	8.68835	1.53605	0.0	1.39508	0.14085	2.76619	1.21138	0.0	3.93582	1.5436	0.44727	7.71044	0.06994	0.0	2.7604	0.05159	3.70771	1.07915	1.39281	0.54423	1.20749	2.69286	0.0	0.0	0.0	0.0	0.0	1.19994	0.0	0.0	0.00033	0.36697	0.0	0.0	0.0	0.0	0.01385	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.19717	1.70013	0.0	0.87598	0.7132	0.0	0.0	0.39503	2.77516	0.09257	0.0	2.58961	0.87042	0.0	1.29429	0.38732	0.0	11.86905	0.0	0.0	0.0	6.85671	2.16288	0.04507	1.7553	0.00361	1.51506	4.80082	0.0	0.0	0.0	4.18311	4.44249	0.0
Clostridia_unclassified_SGB4372|t__SGB4372	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.61836	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02205	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Clostridia_unclassified_SGB4373|t__SGB4373	0.0	0.0	0.0	0.0	0.0	1.88678	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.91546	1.48013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.79312	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02221	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.59425	1.70237	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2021	0.0	0.00473	0.00423	0.0	0.0	0.0	0.24655	0.0	0.0	0.0	0.632	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18235	0.0	0.0	0.0	0.00525	0.62544	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Clostridia_unclassified_SGB4447|t__SGB4447	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08565	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27396	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01851	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28644	0.10446	0.18212	0.0	0.0017	0.00136	0.0	0.0	0.30453	0.06754	0.0	0.0	0.0	0.0	1.20195	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02987	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01523	0.0	0.0	0.0	0.0	0.0
Clostridia_unclassified_SGB6276|t__SGB6276	0.0	0.0	0.00391	0.0	0.0	0.0	0.0	0.0	0.0	0.098	0.0	0.0	0.0	0.0	0.05211	0.0	0.05776	0.0	0.0	0.14046	0.23895	0.0	0.62901	0.0	0.02045	1.39474	0.0	0.00211	0.0	0.02897	0.0	0.10967	0.61846	0.00504	0.28353	0.0	0.0	0.0132	0.0	0.08155	0.0	0.00984	0.03005	0.0	0.26528	0.0	0.0	0.0	0.0	0.42309	0.00857	0.0	0.0	0.0	0.02479	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48238	0.0	0.0	0.0	0.0	0.02219	0.01059	0.0	0.02172	0.0308	0.0356	0.0	0.09457	0.01293	0.0	0.00103	0.0	0.0	0.0	0.0	0.0	0.0	0.16612	0.31027	0.0	0.0	0.00165	0.0	0.0	0.0	0.0	0.0	1.03196	0.0	0.0	0.0	0.65195	0.0	0.0	0.0	0.0	0.0	0.0	0.17878	0.02275	0.0	0.0	0.00679	1.16042	0.37242	0.0	0.08559	0.00688	0.21054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00358	0.0	0.78028	0.01145	0.0	0.72901	0.0	0.0	0.0	0.0	0.0
Clostridia_unclassified_SGB6291|t__SGB6291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26659	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24528	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Clostridia_unclassified_SGB6293|t__SGB6293	0.0	0.0	0.0	0.0	0.0	0.62828	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6037	0.0	0.00206	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.59894	0.0	0.0	0.21623	0.0	0.0	0.0	0.0	0.22051	0.00247	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01644	0.0	0.57609	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23247	0.0	0.0	0.17343	0.42851	0.14714	0.0	0.0	0.0	0.31125	0.0	0.0	0.0	0.0	0.0	0.0	0.03512	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08367	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08264	0.0	0.0	3.0992	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Clostridia_unclassified_SGB6302|t__SGB6302	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00399	0.69486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00912	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Clostridia_unclassified_SGB6307|t__SGB6307	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.69359	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Clostridia_unclassified_SGB6317|t__SGB6317	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.38328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11586	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07226	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07265	0.05328	0.0	0.0	0.0	0.0	0.0	0.06762	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23301	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24327	0.0	0.0	0.0	0.0	0.0
Clostridia_unclassified_SGB6344|t__SGB6344	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02167	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00496	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00648	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Clostridia_unclassified_SGB6369|t__SGB6369	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01581	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06874	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03424	0.0	0.0	0.0	0.0	0.00522	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00963	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Clostridia_unclassified_SGB6371|t__SGB6371	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01876	0.0	0.0	0.0	0.0	0.01018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Clostridia_unclassified_SGB6376|t__SGB6376	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0727	0.0	0.0	0.0	0.0	0.01423	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00575	0.0	0.0	0.0	0.0	0.02655	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00083	0.0	0.0	0.0	0.0	0.01462	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00283	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02298	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04515	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07251	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02534	0.0	0.06703	0.0	0.0	0.0	0.0	0.0
Clostridia_unclassified_SGB6385|t__SGB6385	0.0	0.0	0.0	0.0	0.0	0.00194	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.08872	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.49712	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
